Key,barchart,linechart,scatter-plot,heatmap,piechart,key-value,pagination-table,scroll-table,column-tree,ontology-browser,sunburst,tree,treemap,chord-diagram,force-graph,layered-graph,scorecard,text,breadcrumbs,venn-diagram,named-map,histogram
"node-label_path",,,,,,,,,,○,,,,,,,,,,,,
"node-relations-children_path",,,,,,,,,,○,,,,,,,,,,,,
"node-relations-id_key",,,,,,,,,,○,,,,,,,,,,,,
"node-relations-label_key",,,,,,,,,,○,,,,,,,,,,,,
"node-relations-parents_path",,,,,,,,,,○,,,,,,,,,,,,
"node-size",,○,,,,,,,,,,,,,,,,,,,,
"node-size_key",,,○,,,,,,,,,○,,,○,○,,,,,,
"node-size_max",,,○,,,,,,,,,○,,,○,○,,,,,,
"node-size_min",,,○,,,,,,,,,○,,,○,○,,,,,,
"node-size_scale",,,,,,,,,,,,,,,○,○,,,,,,
"node-url_key",,,,,,,,,,,,,,,,,,,○,,,
"node-value_alignment",,,,,,,,,○,,,,,,,,,,,,,
"node-value_fallback",,,,,,,,,○,,,,,,,,,,,,,
"node-value_key",,,,,,,,,○,,○,,○,,,,,,,,,
"node-values_visible",,,,,,,,,,,○,,,,,,,,,,,
"page-size",,,,,,,,○,,,,,,,,,,,,,,
"page-size-option",,,,,,,○,,,,,,,,,,,,,,,
"page-slider",,,,,,,○,,,,,,,,,,,,,,,
"root_node-label_icon",,,,,,,,,,,,,,,,,,,○,,,
"root_node-label_text",,,,,,,,,,,,,,,,,,,○,,,
"scaling",,,,,,,,,,,○,,,,,,,,,,,
"show-axis_selector",,,,,,,○,,,,,,,,,,,,,,,
"togostanza-custom_css_url",○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
"tooltip",○,○,○,○,○,,,,,,,○,,○,○,○,,,○,○,○,○
"--togostanza-axis-zero_line_color",,,○,,,,,,,,,,,,,,,,,,,
"--togostanza-axis-zero_line_width",,,○,,,,,,,,,,,,,,,,,,,
"--togostanza-border-color",○,○,○,○,○,○,○,○,,,,○,,○,○,○,,,○,○,○,○
"--togostanza-border-horizontal",,,,,,,○,○,,,,,,,,,,,,,,
"--togostanza-border-vertical",,,,,,,○,○,,,,,,,,,,,,,,
"--togostanza-border-width",○,○,○,○,,○,○,○,,,,○,,○,○,○,,,,○,○,○
"--togostanza-canvas-height",○,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○
"--togostanza-canvas-padding",○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○
"--togostanza-canvas-width",○,○,○,○,○,,○,○,○,,○,○,○,○,○,○,○,○,,○,○,○
"--togostanza-column-background_color",,,,,,,,,○,,,,,,,,,,,,,
"--togostanza-column-border_color",,,,,,,,,○,,,,,,,,,,,,,
"--togostanza-column-node_delimiter_color",,,,,,,,,○,,,,,,,,,,,,,
"--togostanza-edge-border_color",,,,,,,,,,○,,,,,,,,,,,,
"--togostanza-edge-color",,,,,,,,,,,,,,○,○,○,,,,,,
"--togostanza-edge-opacity",,,,,,,,,,,,,,○,,,,,,,,
"--togostanza-fonts-font_color",,,,,,,,,,,,,,,,,,,,,,○
"--togostanza-fonts-font_color_hover",,,,,,,,,,,,,,,,,,,○,,,
"--togostanza-fonts-font_color_primary",○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,
"--togostanza-fonts-font_color_secondary",,,,,,○,○,○,,,,,,,,,○,,,,,
"--togostanza-fonts-font_family",○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
"--togostanza-fonts-font_size_default",○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,
"--togostanza-fonts-font_size_primary",,,,,,,,,,,,,,,,,,,,,,○
"--togostanza-fonts-font_size_secondary",,,,,,,,,,,,,,,,,,,,,,○
"--togostanza-fonts-font_size_small",○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,,,○,○,
"--togostanza-grid-color",○,○,○,,,,,,,,,,,,,,,,,,,○
"--togostanza-group_plane-color",,,,,,,,,,,,,,,,○,,,,,,
"--togostanza-line_clamp",,,,,,,○,,,,,,,,,,,,,,,
